/home/mateus/IC/AnimaFace2D_ImageDB/proc_papi_frame_20.bmp,0,20,#,##,##,##,##,##,104,53,105,70,66,60,139,59,106,103
/home/mateus/IC/AnimaFace2D_ImageDB/proc_pipa_frame_36.bmp,2,36,p1,pp,II,pp,aa,##,105,52,105,66,63,58,140,55,106,102
/home/mateus/IC/AnimaFace2D_ImageDB/proc_pupi_frame_42.bmp,3,42,p2,pp,UU,pp,ii,##,105,53,105,69,69,58,139,56,105,99
/home/mateus/IC/AnimaFace2D_ImageDB/proc_fafi_frame_44.bmp,5,44,f1,ff,AA,ff,ii,##,105,51,106,70,67,57,139,55,106,101
/home/mateus/IC/AnimaFace2D_ImageDB/proc_fufi_frame_42.bmp,6,42,f2,ff,UU,ff,ii,##,105,51,105,70,67,56,139,54,105,99
/home/mateus/IC/AnimaFace2D_ImageDB/proc_tita_frame_41.bmp,8,41,t1,tS,II,tt,aa,##,104,50,103,76,68,58,139,56,104,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_tata_frame_37.bmp,9,37,t2,tt,AA,tt,aa,##,104,50,104,75,68,59,140,57,106,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_sissa_frame_38.bmp,11,38,s1,ss,II,ss,aa,##,104,50,105,74,67,58,141,55,106,101
/home/mateus/IC/AnimaFace2D_ImageDB/proc_sussi_frame_24.bmp,12,24,s2,ss,UU,ss,ii,##,105,52,105,74,69,59,140,57,105,102
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lalu_frame_18.bmp,14,18,l1,ll,AA,ll,uu,##,104,51,105,73,66,58,140,57,104,101
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lila_frame_20.bmp,15,20,l2,ll,II,ll,aa,##,104,50,105,76,68,59,139,58,104,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lula_frame_13.bmp,16,13,l3,##,##,ll,UU,ll,106,51,106,74,69,59,137,58,106,101
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lulu_frame_22.bmp,17,22,l4,ll,UU,ll,uu,##,104,52,105,73,68,60,136,56,104,102
/home/mateus/IC/AnimaFace2D_ImageDB/proc_chicha_frame_31.bmp,19,31,\\sh1,SS,II,SS,aa,##,104,51,105,76,66,59,139,56,104,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_chuchu_frame_22.bmp,20,22,\\sh2,SS,UU,SS,uu,##,106,52,106,74,68,57,140,55,105,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lhilha_frame_21.bmp,22,21,\\yt1,l^,II,l^,aa,##,105,50,105,75,67,58,139,56,104,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lhulha_frame_24.bmp,23,24,\\yt2,l^,UU,l^,aa,##,105,52,105,77,70,61,140,57,105,105
/home/mateus/IC/AnimaFace2D_ImageDB/proc_lhilhu_frame_20.bmp,24,20,\\yt3,l^,II,l^,uu,##,105,51,105,72,69,59,139,55,104,100
/home/mateus/IC/AnimaFace2D_ImageDB/proc_kika_frame_37.bmp,26,37,k1,kk,II,kk,aa,##,106,50,107,73,69,57,140,58,107,101
/home/mateus/IC/AnimaFace2D_ImageDB/proc_kaka_frame_44.bmp,27,44,k2,kk,AA,kk,aa,##,105,50,106,78,71,59,141,58,108,105
/home/mateus/IC/AnimaFace2D_ImageDB/proc_kuku_frame_23.bmp,28,23,k3,kk,UU,kk,uu,##,105,51,107,71,70,59,138,56,106,100
/home/mateus/IC/AnimaFace2D_ImageDB/proc_rira_frame_19.bmp,30,19,\\fh1,r^,II,r^,aa,##,105,50,106,79,69,61,137,57,106,106
/home/mateus/IC/AnimaFace2D_ImageDB/proc_ruri_frame_21.bmp,31,21,\\fh2,r^,UU,r^,ii,##,105,52,106,74,70,60,140,57,105,105
/home/mateus/IC/AnimaFace2D_ImageDB/proc_pipa_frame_32.bmp,32,32,i1,##,pp,II,pp,aa,104,52,105,75,67,60,140,57,104,106
/home/mateus/IC/AnimaFace2D_ImageDB/proc_tita_frame_37.bmp,33,37,i2,##,tS,II,tt,aa,104,50,105,78,69,58,137,56,104,105
/home/mateus/IC/AnimaFace2D_ImageDB/proc_papa_frame_33.bmp,34,33,a,##,pp,AA,pp,aa,105,51,105,81,70,62,139,59,105,109
/home/mateus/IC/AnimaFace2D_ImageDB/proc_pupa_frame_35.bmp,35,35,u,##,pp,UU,pp,aa,103,53,103,76,71,61,134,59,103,106
/home/mateus/IC/AnimaFace2D_ImageDB/proc_papi_frame_42.bmp,36,42,\\ic,AA,pp,ii,##,##,104,52,104,73,65,58,141,54,103,103
/home/mateus/IC/AnimaFace2D_ImageDB/proc_papa_frame_41.bmp,37,41,\\at,AA,pp,aa,##,##,105,52,104,74,68,58,139,57,104,102
/home/mateus/IC/AnimaFace2D_ImageDB/proc_papu_frame_43.bmp,38,43,\\hs,AA,pp,uu,##,##,105,53,105,73,71,59,139,58,106,104
/home/mateus/IC/AnimaFace2D_ImageDB/proc_eu_frame_26.bmp,39,26,e,##,##,ee,uu,##,106,51,107,78,71,61,138,59,107,106
/home/mateus/IC/AnimaFace2D_ImageDB/proc_eu_frame_18.bmp,40,18,\\ef,##,##,EE,uu,##,105,51,106,84,72,63,136,60,105,110
/home/mateus/IC/AnimaFace2D_ImageDB/proc_oa_frame_16.bmp,41,16,o,##,##,oo,aa,##,106,52,108,78,73,62,137,60,107,106
/home/mateus/IC/AnimaFace2D_ImageDB/proc_oa_frame_34.bmp,42,34,\\ct,##,##,OO,aa,##,105,52,106,78,71,62,139,60,106,105
